Node Number	X Location (m)	Y Location (m)	Z Location (m)	Equivalent (von-Mises) Stress (Pa)
1	0.95	-1.7347e-018	5.e-002	3.5746e+006
2	0.9	9.8608e-032	5.e-002	2.8848e+006
3	0.85	2.4652e-031	5.e-002	2.7007e+006
4	0.8	3.4694e-018	5.e-002	2.6914e+006
5	0.75	-3.6978e-032	5.e-002	2.6884e+006
6	0.7	0.	5.e-002	2.6883e+006
7	0.65	2.4652e-032	5.e-002	2.6884e+006
8	0.6	0.	5.e-002	2.6884e+006
9	0.55	2.4652e-032	5.e-002	2.6885e+006
10	0.5	-3.4694e-018	5.e-002	2.6885e+006
11	0.45	-3.4694e-018	5.e-002	2.6885e+006
12	0.4	5.5467e-032	5.e-002	2.6885e+006
13	0.35	0.	5.e-002	2.6882e+006
14	0.3	0.	5.e-002	2.6897e+006
15	0.25	-6.163e-033	5.e-002	2.6835e+006
16	0.2	-1.7347e-018	5.e-002	2.7136e+006
17	0.15	9.2445e-033	5.e-002	2.6479e+006
18	0.1	-1.7347e-018	5.e-002	3.4601e+006
19	5.e-002	-3.0815e-033	5.e-002	6.7483e+006
20	5.e-002	-6.163e-033	0.	3.9382e+006
21	0.1	-3.4694e-018	0.	3.8757e+006
22	0.15	1.8489e-032	0.	3.4064e+006
23	0.2	-3.4694e-018	0.	3.3988e+006
24	0.25	-1.2326e-032	0.	3.373e+006
25	0.3	0.	0.	3.3751e+006
26	0.35	0.	0.	3.3739e+006
27	0.4	1.1093e-031	0.	3.3741e+006
28	0.45	-6.9389e-018	0.	3.374e+006
29	0.5	-6.9389e-018	0.	3.3741e+006
30	0.55	4.9304e-032	0.	3.3741e+006
31	0.6	0.	0.	3.3741e+006
32	0.65	4.9304e-032	0.	3.3741e+006
33	0.7	0.	0.	3.3744e+006
34	0.75	-7.3956e-032	0.	3.3745e+006
35	0.8	6.9389e-018	0.	3.3799e+006
36	0.85	4.9304e-031	0.	3.384e+006
37	0.9	1.9722e-031	0.	3.5937e+006
38	0.95	-3.4694e-018	0.	4.7584e+006
39	0.95	0.	0.1	4.7584e+006
40	0.9	0.	0.1	3.5937e+006
41	0.85	0.	0.1	3.384e+006
42	0.8	0.	0.1	3.3799e+006
43	0.75	0.	0.1	3.3745e+006
44	0.7	0.	0.1	3.3744e+006
45	0.65	0.	0.1	3.3741e+006
46	0.6	0.	0.1	3.3741e+006
47	0.55	0.	0.1	3.3741e+006
48	0.5	0.	0.1	3.3741e+006
49	0.45	0.	0.1	3.374e+006
50	0.4	0.	0.1	3.3741e+006
51	0.35	0.	0.1	3.3739e+006
52	0.3	0.	0.1	3.3751e+006
53	0.25	0.	0.1	3.373e+006
54	0.2	0.	0.1	3.3988e+006
55	0.15	0.	0.1	3.4064e+006
56	0.1	0.	0.1	3.8757e+006
57	5.e-002	0.	0.1	3.9382e+006
58	5.e-002	-5.e-002	0.1	5.9579e+007
59	0.1	-5.e-002	0.1	5.3613e+007
60	0.15	-5.e-002	0.1	5.1127e+007
61	0.2	-5.e-002	0.1	4.7965e+007
62	0.25	-5.e-002	0.1	4.4992e+007
63	0.3	-5.e-002	0.1	4.1986e+007
64	0.35	-5.e-002	0.1	3.8987e+007
65	0.4	-5.e-002	0.1	3.5987e+007
66	0.45	-5.e-002	0.1	3.2987e+007
67	0.5	-5.e-002	0.1	2.9988e+007
68	0.55	-5.e-002	0.1	2.6988e+007
69	0.6	-5.e-002	0.1	2.3989e+007
70	0.65	-5.e-002	0.1	2.099e+007
71	0.7	-5.e-002	0.1	1.7991e+007
72	0.75	-5.e-002	0.1	1.4993e+007
73	0.8	-5.e-002	0.1	1.1992e+007
74	0.85	-5.e-002	0.1	9.0018e+006
75	0.9	-5.e-002	0.1	5.9362e+006
76	0.95	-5.e-002	0.1	2.1002e+006
77	1.	-5.e-002	0.1	8.8314e+005
78	1.	0.	0.1	2.8161e+006
79	1.	5.e-002	0.1	1.0708e+007
80	0.95	5.e-002	0.1	3.5463e+006
81	0.9	5.e-002	0.1	5.9854e+006
82	0.85	5.e-002	0.1	9.0065e+006
83	0.8	5.e-002	0.1	1.2009e+007
84	0.75	5.e-002	0.1	1.5011e+007
85	0.7	5.e-002	0.1	1.8008e+007
86	0.65	5.e-002	0.1	2.1008e+007
87	0.6	5.e-002	0.1	2.4007e+007
88	0.55	5.e-002	0.1	2.7006e+007
89	0.5	5.e-002	0.1	3.0006e+007
90	0.45	5.e-002	0.1	3.3005e+007
91	0.4	5.e-002	0.1	3.6005e+007
92	0.35	5.e-002	0.1	3.9005e+007
93	0.3	5.e-002	0.1	4.2002e+007
94	0.25	5.e-002	0.1	4.5015e+007
95	0.2	5.e-002	0.1	4.7963e+007
96	0.15	5.e-002	0.1	5.1244e+007
97	0.1	5.e-002	0.1	5.3123e+007
98	5.e-002	5.e-002	0.1	5.9406e+007
99	0.	5.e-002	0.1	5.4559e+007
100	0.	0.	0.1	1.6648e+007
101	0.	-5.e-002	0.1	5.001e+007
102	0.	0.	5.e-002	8.3457e+006
103	0.	0.	0.	1.6648e+007
104	0.	-5.e-002	0.	5.001e+007
105	0.	-5.e-002	5.e-002	4.4586e+007
106	0.	5.e-002	0.	5.4559e+007
107	0.	5.e-002	5.e-002	4.1242e+007
108	0.95	5.e-002	5.e-002	3.7811e+006
109	0.9	5.e-002	5.e-002	6.1604e+006
110	0.85	5.e-002	5.e-002	8.9959e+006
111	0.8	5.e-002	5.e-002	1.2056e+007
112	0.75	5.e-002	5.e-002	1.5048e+007
113	0.7	5.e-002	5.e-002	1.805e+007
114	0.65	5.e-002	5.e-002	2.1049e+007
115	0.6	5.e-002	5.e-002	2.4049e+007
116	0.55	5.e-002	5.e-002	2.7048e+007
117	0.5	5.e-002	5.e-002	3.0048e+007
118	0.45	5.e-002	5.e-002	3.3048e+007
119	0.4	5.e-002	5.e-002	3.6048e+007
120	0.35	5.e-002	5.e-002	3.9048e+007
121	0.3	5.e-002	5.e-002	4.2047e+007
122	0.25	5.e-002	5.e-002	4.5049e+007
123	0.2	5.e-002	5.e-002	4.8042e+007
124	0.15	5.e-002	5.e-002	5.1114e+007
125	0.1	5.e-002	5.e-002	5.4416e+007
126	5.e-002	5.e-002	5.e-002	6.1813e+007
127	5.e-002	5.e-002	0.	5.9406e+007
128	0.1	5.e-002	0.	5.3123e+007
129	0.15	5.e-002	0.	5.1244e+007
130	0.2	5.e-002	0.	4.7963e+007
131	0.25	5.e-002	0.	4.5015e+007
132	0.3	5.e-002	0.	4.2002e+007
133	0.35	5.e-002	0.	3.9005e+007
134	0.4	5.e-002	0.	3.6005e+007
135	0.45	5.e-002	0.	3.3005e+007
136	0.5	5.e-002	0.	3.0006e+007
137	0.55	5.e-002	0.	2.7006e+007
138	0.6	5.e-002	0.	2.4007e+007
139	0.65	5.e-002	0.	2.1008e+007
140	0.7	5.e-002	0.	1.8008e+007
141	0.75	5.e-002	0.	1.5011e+007
142	0.8	5.e-002	0.	1.2009e+007
143	0.85	5.e-002	0.	9.0065e+006
144	0.9	5.e-002	0.	5.9854e+006
145	0.95	5.e-002	0.	3.5463e+006
146	1.	5.e-002	0.	1.0708e+007
147	1.	5.e-002	5.e-002	1.0898e+007
148	1.	0.	5.e-002	2.8326e+006
149	1.	0.	0.	2.8161e+006
150	1.	-5.e-002	0.	8.8314e+005
151	1.	-5.e-002	5.e-002	7.6952e+005
152	0.95	-5.e-002	5.e-002	1.9442e+006
153	0.9	-5.e-002	5.e-002	5.8691e+006
154	0.85	-5.e-002	5.e-002	8.9922e+006
155	0.8	-5.e-002	5.e-002	1.1972e+007
156	0.75	-5.e-002	5.e-002	1.4975e+007
157	0.7	-5.e-002	5.e-002	1.7973e+007
158	0.65	-5.e-002	5.e-002	2.0973e+007
159	0.6	-5.e-002	5.e-002	2.3973e+007
160	0.55	-5.e-002	5.e-002	2.6972e+007
161	0.5	-5.e-002	5.e-002	2.9972e+007
162	0.45	-5.e-002	5.e-002	3.2972e+007
163	0.4	-5.e-002	5.e-002	3.5972e+007
164	0.35	-5.e-002	5.e-002	3.8972e+007
165	0.3	-5.e-002	5.e-002	4.1971e+007
166	0.25	-5.e-002	5.e-002	4.4975e+007
167	0.2	-5.e-002	5.e-002	4.7962e+007
168	0.15	-5.e-002	5.e-002	5.1033e+007
169	0.1	-5.e-002	5.e-002	5.4168e+007
170	5.e-002	-5.e-002	5.e-002	6.0342e+007
171	0.95	-5.e-002	0.	2.1002e+006
172	0.9	-5.e-002	0.	5.9362e+006
173	0.85	-5.e-002	0.	9.0018e+006
174	0.8	-5.e-002	0.	1.1992e+007
175	0.75	-5.e-002	0.	1.4993e+007
176	0.7	-5.e-002	0.	1.7991e+007
177	0.65	-5.e-002	0.	2.099e+007
178	0.6	-5.e-002	0.	2.3989e+007
179	0.55	-5.e-002	0.	2.6988e+007
180	0.5	-5.e-002	0.	2.9988e+007
181	0.45	-5.e-002	0.	3.2987e+007
182	0.4	-5.e-002	0.	3.5987e+007
183	0.35	-5.e-002	0.	3.8987e+007
184	0.3	-5.e-002	0.	4.1986e+007
185	0.25	-5.e-002	0.	4.4992e+007
186	0.2	-5.e-002	0.	4.7965e+007
187	0.15	-5.e-002	0.	5.1127e+007
188	0.1	-5.e-002	0.	5.3613e+007
189	5.e-002	-5.e-002	0.	5.9579e+007
190	0.925	-8.6736e-019	5.e-002	3.1916e+006
191	0.95	-2.6021e-018	2.5e-002	4.1655e+006
192	0.95	-8.6736e-019	7.5e-002	4.1655e+006
193	0.95	2.5e-002	5.e-002	1.6451e+006
194	0.975	-8.6736e-019	5.e-002	2.2665e+006
195	0.95	-2.5e-002	5.e-002	2.4031e+006
196	0.875	1.7256e-031	5.e-002	2.7924e+006
197	0.9	1.4791e-031	2.5e-002	3.2389e+006
198	0.9	4.9304e-032	7.5e-002	3.2389e+006
199	0.9	2.5e-002	5.e-002	3.3828e+006
200	0.9	-2.5e-002	5.e-002	3.3497e+006
201	0.825	1.7347e-018	5.e-002	2.696e+006
202	0.85	3.6978e-031	2.5e-002	3.0423e+006
203	0.85	1.2326e-031	7.5e-002	3.0423e+006
204	0.85	2.5e-002	5.e-002	4.7514e+006
205	0.85	-2.5e-002	5.e-002	4.7357e+006
206	0.775	1.7347e-018	5.e-002	2.6899e+006
207	0.8	5.2042e-018	2.5e-002	3.0356e+006
208	0.8	1.7347e-018	7.5e-002	3.0356e+006
209	0.8	2.5e-002	5.e-002	6.2148e+006
210	0.8	-2.5e-002	5.e-002	6.1719e+006
211	0.725	-1.8489e-032	5.e-002	2.6883e+006
212	0.75	-5.5467e-032	2.5e-002	3.0314e+006
213	0.75	-1.8489e-032	7.5e-002	3.0314e+006
214	0.75	2.5e-002	5.e-002	7.6749e+006
215	0.75	-2.5e-002	5.e-002	7.6365e+006
216	0.675	1.2326e-032	5.e-002	2.6884e+006
217	0.7	0.	2.5e-002	3.0312e+006
218	0.7	0.	7.5e-002	3.0312e+006
219	0.7	2.5e-002	5.e-002	9.1511e+006
220	0.7	-2.5e-002	5.e-002	9.1112e+006
221	0.625	1.2326e-032	5.e-002	2.6884e+006
222	0.65	3.6978e-032	2.5e-002	3.0312e+006
223	0.65	1.2326e-032	7.5e-002	3.0312e+006
224	0.65	2.5e-002	5.e-002	1.0633e+007
225	0.65	-2.5e-002	5.e-002	1.0593e+007
226	0.575	1.2326e-032	5.e-002	2.6885e+006
227	0.6	0.	2.5e-002	3.0312e+006
228	0.6	0.	7.5e-002	3.0312e+006
229	0.6	2.5e-002	5.e-002	1.2119e+007
230	0.6	-2.5e-002	5.e-002	1.208e+007
231	0.525	-1.7347e-018	5.e-002	2.6885e+006
232	0.55	3.6978e-032	2.5e-002	3.0312e+006
233	0.55	1.2326e-032	7.5e-002	3.0312e+006
234	0.55	2.5e-002	5.e-002	1.3609e+007
235	0.55	-2.5e-002	5.e-002	1.3569e+007
236	0.475	-3.4694e-018	5.e-002	2.6885e+006
237	0.5	-5.2042e-018	2.5e-002	3.0312e+006
238	0.5	-1.7347e-018	7.5e-002	3.0312e+006
239	0.5	2.5e-002	5.e-002	1.51e+007
240	0.5	-2.5e-002	5.e-002	1.5061e+007
241	0.425	-1.7347e-018	5.e-002	2.6885e+006
242	0.45	-5.2042e-018	2.5e-002	3.0312e+006
243	0.45	-1.7347e-018	7.5e-002	3.0312e+006
244	0.45	2.5e-002	5.e-002	1.6593e+007
245	0.45	-2.5e-002	5.e-002	1.6554e+007
246	0.375	2.7733e-032	5.e-002	2.6884e+006
247	0.4	8.32e-032	2.5e-002	3.0312e+006
248	0.4	2.7733e-032	7.5e-002	3.0312e+006
249	0.4	2.5e-002	5.e-002	1.8088e+007
250	0.4	-2.5e-002	5.e-002	1.8048e+007
251	0.325	0.	5.e-002	2.689e+006
252	0.35	0.	2.5e-002	3.031e+006
253	0.35	0.	7.5e-002	3.031e+006
254	0.35	2.5e-002	5.e-002	1.9583e+007
255	0.35	-2.5e-002	5.e-002	1.9543e+007
256	0.275	-3.0815e-033	5.e-002	2.6866e+006
257	0.3	0.	2.5e-002	3.0323e+006
258	0.3	0.	7.5e-002	3.0323e+006
259	0.3	2.5e-002	5.e-002	2.1079e+007
260	0.3	-2.5e-002	5.e-002	2.1038e+007
261	0.225	-8.6736e-019	5.e-002	2.6985e+006
262	0.25	-9.2445e-033	2.5e-002	3.0281e+006
263	0.25	-3.0815e-033	7.5e-002	3.0281e+006
264	0.25	2.5e-002	5.e-002	2.2574e+007
265	0.25	-2.5e-002	5.e-002	2.2539e+007
266	0.175	-8.6736e-019	5.e-002	2.6805e+006
267	0.2	-2.6021e-018	2.5e-002	3.0561e+006
268	0.2	-8.6736e-019	7.5e-002	3.0561e+006
269	0.2	2.5e-002	5.e-002	2.4075e+007
270	0.2	-2.5e-002	5.e-002	2.4022e+007
271	0.125	-8.6736e-019	5.e-002	3.047e+006
272	0.15	1.3867e-032	2.5e-002	3.027e+006
273	0.15	4.6222e-033	7.5e-002	3.027e+006
274	0.15	2.5e-002	5.e-002	2.5573e+007
275	0.15	-2.5e-002	5.e-002	2.5588e+007
276	7.5e-002	-8.6736e-019	5.e-002	5.1005e+006
277	0.1	-2.6021e-018	2.5e-002	3.6578e+006
278	0.1	-8.6736e-019	7.5e-002	3.6578e+006
279	0.1	2.5e-002	5.e-002	2.746e+007
280	0.1	-2.5e-002	5.e-002	2.6933e+007
281	5.e-002	-4.6222e-033	2.5e-002	5.2193e+006
282	5.e-002	-1.5407e-033	7.5e-002	5.2193e+006
283	2.5e-002	-1.5407e-033	5.e-002	3.2458e+006
284	5.e-002	2.5e-002	5.e-002	3.156e+007
285	5.e-002	-2.5e-002	5.e-002	2.9682e+007
286	7.5e-002	-1.7347e-018	0.	3.7966e+006
287	2.5e-002	-3.0815e-033	0.	6.48e+006
288	5.e-002	2.5e-002	0.	3.0017e+007
289	5.e-002	-2.5e-002	0.	2.9559e+007
290	0.125	-1.7347e-018	0.	3.6338e+006
291	0.1	2.5e-002	0.	2.6644e+007
292	0.1	-2.5e-002	0.	2.6849e+007
293	0.175	-1.7347e-018	0.	3.4023e+006
294	0.15	2.5e-002	0.	2.5671e+007
295	0.15	-2.5e-002	0.	2.5662e+007
296	0.225	-1.7347e-018	0.	3.3859e+006
297	0.2	2.5e-002	0.	2.4036e+007
298	0.2	-2.5e-002	0.	2.4083e+007
299	0.275	-6.163e-033	0.	3.3741e+006
300	0.25	2.5e-002	0.	2.2565e+007
301	0.25	-2.5e-002	0.	2.2603e+007
302	0.325	0.	0.	3.3745e+006
303	0.3	2.5e-002	0.	2.1065e+007
304	0.3	-2.5e-002	0.	2.1105e+007
305	0.375	5.5467e-032	0.	3.374e+006
306	0.35	2.5e-002	0.	1.9573e+007
307	0.35	-2.5e-002	0.	1.9613e+007
308	0.425	-3.4694e-018	0.	3.3741e+006
309	0.4	2.5e-002	0.	1.8081e+007
310	0.4	-2.5e-002	0.	1.8121e+007
311	0.475	-6.9389e-018	0.	3.374e+006
312	0.45	2.5e-002	0.	1.6591e+007
313	0.45	-2.5e-002	0.	1.663e+007
314	0.525	-3.4694e-018	0.	3.3741e+006
315	0.5	2.5e-002	0.	1.5102e+007
316	0.5	-2.5e-002	0.	1.5142e+007
317	0.575	2.4652e-032	0.	3.3741e+006
318	0.55	2.5e-002	0.	1.3616e+007
319	0.55	-2.5e-002	0.	1.3655e+007
320	0.625	2.4652e-032	0.	3.3741e+006
321	0.6	2.5e-002	0.	1.2133e+007
322	0.6	-2.5e-002	0.	1.2173e+007
323	0.675	2.4652e-032	0.	3.3742e+006
324	0.65	2.5e-002	0.	1.0655e+007
325	0.65	-2.5e-002	0.	1.0695e+007
326	0.725	-3.6978e-032	0.	3.3744e+006
327	0.7	2.5e-002	0.	9.1846e+006
328	0.7	-2.5e-002	0.	9.2237e+006
329	0.775	3.4694e-018	0.	3.3772e+006
330	0.75	2.5e-002	0.	7.7255e+006
331	0.75	-2.5e-002	0.	7.7646e+006
332	0.825	3.4694e-018	0.	3.3819e+006
333	0.8	2.5e-002	0.	6.2847e+006
334	0.8	-2.5e-002	0.	6.321e+006
335	0.875	3.4513e-031	0.	3.4877e+006
336	0.85	2.5e-002	0.	4.8856e+006
337	0.85	-2.5e-002	0.	4.9101e+006
338	0.925	-1.7347e-018	0.	4.124e+006
339	0.9	2.5e-002	0.	3.4644e+006
340	0.9	-2.5e-002	0.	3.6513e+006
341	0.95	2.5e-002	0.	2.0308e+006
342	0.975	-1.7347e-018	0.	3.0312e+006
343	0.95	-2.5e-002	0.	3.1312e+006
344	0.925	0.	0.1	4.124e+006
345	0.95	-2.5e-002	0.1	3.1312e+006
346	0.975	0.	0.1	3.0312e+006
347	0.95	2.5e-002	0.1	2.0308e+006
348	0.875	0.	0.1	3.4877e+006
349	0.9	-2.5e-002	0.1	3.6513e+006
350	0.9	2.5e-002	0.1	3.4644e+006
351	0.825	0.	0.1	3.3819e+006
352	0.85	-2.5e-002	0.1	4.9101e+006
353	0.85	2.5e-002	0.1	4.8856e+006
354	0.775	0.	0.1	3.3772e+006
355	0.8	-2.5e-002	0.1	6.321e+006
356	0.8	2.5e-002	0.1	6.2847e+006
357	0.725	0.	0.1	3.3744e+006
358	0.75	-2.5e-002	0.1	7.7646e+006
359	0.75	2.5e-002	0.1	7.7255e+006
360	0.675	0.	0.1	3.3742e+006
361	0.7	-2.5e-002	0.1	9.2237e+006
362	0.7	2.5e-002	0.1	9.1846e+006
363	0.625	0.	0.1	3.3741e+006
364	0.65	-2.5e-002	0.1	1.0695e+007
365	0.65	2.5e-002	0.1	1.0655e+007
366	0.575	0.	0.1	3.3741e+006
367	0.6	-2.5e-002	0.1	1.2173e+007
368	0.6	2.5e-002	0.1	1.2133e+007
369	0.525	0.	0.1	3.3741e+006
370	0.55	-2.5e-002	0.1	1.3655e+007
371	0.55	2.5e-002	0.1	1.3616e+007
372	0.475	0.	0.1	3.374e+006
373	0.5	-2.5e-002	0.1	1.5142e+007
374	0.5	2.5e-002	0.1	1.5102e+007
375	0.425	0.	0.1	3.3741e+006
376	0.45	-2.5e-002	0.1	1.663e+007
377	0.45	2.5e-002	0.1	1.6591e+007
378	0.375	0.	0.1	3.374e+006
379	0.4	-2.5e-002	0.1	1.8121e+007
380	0.4	2.5e-002	0.1	1.8081e+007
381	0.325	0.	0.1	3.3745e+006
382	0.35	-2.5e-002	0.1	1.9613e+007
383	0.35	2.5e-002	0.1	1.9573e+007
384	0.275	0.	0.1	3.3741e+006
385	0.3	-2.5e-002	0.1	2.1105e+007
386	0.3	2.5e-002	0.1	2.1065e+007
387	0.225	0.	0.1	3.3859e+006
388	0.25	-2.5e-002	0.1	2.2603e+007
389	0.25	2.5e-002	0.1	2.2565e+007
390	0.175	0.	0.1	3.4023e+006
391	0.2	-2.5e-002	0.1	2.4083e+007
392	0.2	2.5e-002	0.1	2.4036e+007
393	0.125	0.	0.1	3.6338e+006
394	0.15	-2.5e-002	0.1	2.5662e+007
395	0.15	2.5e-002	0.1	2.5671e+007
396	7.5e-002	0.	0.1	3.7966e+006
397	0.1	-2.5e-002	0.1	2.6849e+007
398	0.1	2.5e-002	0.1	2.6644e+007
399	5.e-002	-2.5e-002	0.1	2.9559e+007
400	5.e-002	2.5e-002	0.1	3.0017e+007
401	2.5e-002	0.	0.1	6.48e+006
402	7.5e-002	-5.e-002	0.1	5.6574e+007
403	2.5e-002	-5.e-002	0.1	5.3596e+007
404	5.e-002	-5.e-002	7.5e-002	5.9921e+007
405	0.125	-5.e-002	0.1	5.2368e+007
406	0.1	-5.e-002	7.5e-002	5.389e+007
407	0.175	-5.e-002	0.1	4.9546e+007
408	0.15	-5.e-002	7.5e-002	5.108e+007
409	0.225	-5.e-002	0.1	4.6478e+007
410	0.2	-5.e-002	7.5e-002	4.7963e+007
411	0.275	-5.e-002	0.1	4.3489e+007
412	0.25	-5.e-002	7.5e-002	4.4983e+007
413	0.325	-5.e-002	0.1	4.0486e+007
414	0.3	-5.e-002	7.5e-002	4.1978e+007
415	0.375	-5.e-002	0.1	3.7487e+007
416	0.35	-5.e-002	7.5e-002	3.8979e+007
417	0.425	-5.e-002	0.1	3.4487e+007
418	0.4	-5.e-002	7.5e-002	3.5979e+007
419	0.475	-5.e-002	0.1	3.1488e+007
420	0.45	-5.e-002	7.5e-002	3.2979e+007
421	0.525	-5.e-002	0.1	2.8488e+007
422	0.5	-5.e-002	7.5e-002	2.998e+007
423	0.575	-5.e-002	0.1	2.5489e+007
424	0.55	-5.e-002	7.5e-002	2.698e+007
425	0.625	-5.e-002	0.1	2.2489e+007
426	0.6	-5.e-002	7.5e-002	2.3981e+007
427	0.675	-5.e-002	0.1	1.949e+007
428	0.65	-5.e-002	7.5e-002	2.0981e+007
429	0.725	-5.e-002	0.1	1.6492e+007
430	0.7	-5.e-002	7.5e-002	1.7982e+007
431	0.775	-5.e-002	0.1	1.3492e+007
432	0.75	-5.e-002	7.5e-002	1.4984e+007
433	0.825	-5.e-002	0.1	1.0497e+007
434	0.8	-5.e-002	7.5e-002	1.1982e+007
435	0.875	-5.e-002	0.1	7.4682e+006
436	0.85	-5.e-002	7.5e-002	8.9963e+006
437	0.925	-5.e-002	0.1	3.9913e+006
438	0.9	-5.e-002	7.5e-002	5.9011e+006
439	0.975	-5.e-002	0.1	1.1856e+006
440	0.95	-5.e-002	7.5e-002	2.0166e+006
441	1.	-2.5e-002	0.1	1.2119e+006
442	1.	-5.e-002	7.5e-002	7.625e+005
443	1.	2.5e-002	0.1	6.6128e+006
444	1.	0.	7.5e-002	2.7829e+006
445	0.975	5.e-002	0.1	5.4033e+006
446	1.	5.e-002	7.5e-002	1.0786e+007
447	0.925	5.e-002	0.1	4.4266e+006
448	0.95	5.e-002	7.5e-002	3.6282e+006
449	0.875	5.e-002	0.1	7.4929e+006
450	0.9	5.e-002	7.5e-002	6.0703e+006
451	0.825	5.e-002	0.1	1.0507e+007
452	0.85	5.e-002	7.5e-002	9.0006e+006
453	0.775	5.e-002	0.1	1.351e+007
