Node Number	X Location (m)	Y Location (m)	Z Location (m)	Equivalent (von-Mises) Stress (Pa)
1	0.95	-1.7347e-018	5.e-002	1.1091e+007
2	0.9	9.8608e-032	5.e-002	8.8108e+006
3	0.85	2.4652e-031	5.e-002	8.1729e+006
4	0.8	3.4694e-018	5.e-002	8.1059e+006
5	0.75	-3.6978e-032	5.e-002	8.0792e+006
6	0.7	0.	5.e-002	8.0713e+006
7	0.65	2.4652e-032	5.e-002	8.0682e+006
8	0.6	0.	5.e-002	8.0667e+006
9	0.55	2.4652e-032	5.e-002	8.0661e+006
10	0.5	-3.4694e-018	5.e-002	8.0658e+006
11	0.45	-3.4694e-018	5.e-002	8.0657e+006
12	0.4	5.5467e-032	5.e-002	8.0659e+006
13	0.35	0.	5.e-002	8.0647e+006
14	0.3	0.	5.e-002	8.0699e+006
15	0.25	-6.163e-033	5.e-002	8.0489e+006
16	0.2	-1.7347e-018	5.e-002	8.1572e+006
17	0.15	9.2445e-033	5.e-002	8.0797e+006
18	0.1	-1.7347e-018	5.e-002	1.5704e+007
19	5.e-002	-3.0815e-033	5.e-002	4.3703e+007
20	5.e-002	-6.163e-033	0.	5.07e+007
21	0.1	-3.4694e-018	0.	1.3165e+007
22	0.15	1.8489e-032	0.	1.0405e+007
23	0.2	-3.4694e-018	0.	1.03e+007
24	0.25	-1.2326e-032	0.	1.0221e+007
25	0.3	0.	0.	1.0221e+007
26	0.35	0.	0.	1.0219e+007
27	0.4	1.1093e-031	0.	1.0219e+007
28	0.45	-6.9389e-018	0.	1.0219e+007
29	0.5	-6.9389e-018	0.	1.0219e+007
30	0.55	4.9304e-032	0.	1.0219e+007
31	0.6	0.	0.	1.0218e+007
32	0.65	4.9304e-032	0.	1.0217e+007
33	0.7	0.	0.	1.0215e+007
34	0.75	-7.3956e-032	0.	1.0208e+007
35	0.8	6.9389e-018	0.	1.0209e+007
36	0.85	4.9304e-031	0.	1.0191e+007
37	0.9	1.9722e-031	0.	1.068e+007
38	0.95	-3.4694e-018	0.	1.3696e+007
39	0.95	0.	0.1	1.3696e+007
40	0.9	0.	0.1	1.068e+007
41	0.85	0.	0.1	1.0191e+007
42	0.8	0.	0.1	1.0209e+007
43	0.75	0.	0.1	1.0208e+007
44	0.7	0.	0.1	1.0215e+007
45	0.65	0.	0.1	1.0217e+007
46	0.6	0.	0.1	1.0218e+007
47	0.55	0.	0.1	1.0219e+007
48	0.5	0.	0.1	1.0219e+007
49	0.45	0.	0.1	1.0219e+007
