Node Number	X Location (m)	Y Location (m)	Z Location (m)	Normal Stress (Pa)
1	0.95	-1.7347e-018	5.e-002	-1.0106e+006
2	0.9	9.8608e-032	5.e-002	4790.
3	0.85	2.4652e-031	5.e-002	5476.9
4	0.8	3.4694e-018	5.e-002	4072.6
5	0.75	-3.6978e-032	5.e-002	1720.
6	0.7	0.	5.e-002	2052.3
7	0.65	2.4652e-032	5.e-002	1867.6
8	0.6	0.	5.e-002	1889.
9	0.55	2.4652e-032	5.e-002	1865.3
10	0.5	-3.4694e-018	5.e-002	1866.8
11	0.45	-3.4694e-018	5.e-002	1852.8
12	0.4	5.5467e-032	5.e-002	1895.2
13	0.35	0.	5.e-002	1736.1
14	0.3	0.	5.e-002	2329.1
15	0.25	-6.163e-033	5.e-002	-0.16326
16	0.2	-1.7347e-018	5.e-002	6975.
17	0.15	9.2445e-033	5.e-002	-33708
18	0.1	-1.7347e-018	5.e-002	2.0604e+005
19	5.e-002	-3.0815e-033	5.e-002	1.9958e+006
20	5.e-002	-6.163e-033	0.	-1.9998e+005
21	0.1	-3.4694e-018	0.	-26505
22	0.15	1.8489e-032	0.	-44477
23	0.2	-3.4694e-018	0.	-48778
24	0.25	-1.2326e-032	0.	-48823
25	0.3	0.	0.	-48941
26	0.35	0.	0.	-48913
27	0.4	1.1093e-031	0.	-48919
28	0.45	-6.9389e-018	0.	-48919
29	0.5	-6.9389e-018	0.	-48920
30	0.55	4.9304e-032	0.	-48929
31	0.6	0.	0.	-48927
32	0.65	4.9304e-032	0.	-48994
33	0.7	0.	0.	-48952
34	0.75	-7.3956e-032	0.	-49550
35	0.8	6.9389e-018	0.	-46533
36	0.85	4.9304e-031	0.	-35025
37	0.9	1.9722e-031	0.	-78088
38	0.95	-3.4694e-018	0.	-1.3742e+006
39	0.95	0.	0.1	-1.3742e+006
40	0.9	0.	0.1	-78088
41	0.85	0.	0.1	-35025
42	0.8	0.	0.1	-46533
43	0.75	0.	0.1	-49550
44	0.7	0.	0.1	-48952
45	0.65	0.	0.1	-48994
46	0.6	0.	0.1	-48927
47	0.55	0.	0.1	-48929
48	0.5	0.	0.1	-48920
49	0.45	0.	0.1	-48919
50	0.4	0.	0.1	-48919
51	0.35	0.	0.1	-48913
52	0.3	0.	0.1	-48941
53	0.25	0.	0.1	-48823
54	0.2	0.	0.1	-48778
55	0.15	0.	0.1	-44477
56	0.1	0.	0.1	-26505
57	5.e-002	0.	0.1	-1.9998e+005
58	5.e-002	-5.e-002	0.1	-5.5837e+007
59	0.1	-5.e-002	0.1	-5.4126e+007
60	0.15	-5.e-002	0.1	-5.0938e+007
61	0.2	-5.e-002	0.1	-4.7993e+007
62	0.25	-5.e-002	0.1	-4.4978e+007
63	0.3	-5.e-002	0.1	-4.1982e+007
64	0.35	-5.e-002	0.1	-3.8981e+007
65	0.4	-5.e-002	0.1	-3.5981e+007
66	0.45	-5.e-002	0.1	-3.2981e+007
67	0.5	-5.e-002	0.1	-2.9981e+007
68	0.55	-5.e-002	0.1	-2.6981e+007
69	0.6	-5.e-002	0.1	-2.3981e+007
70	0.65	-5.e-002	0.1	-2.0981e+007
71	0.7	-5.e-002	0.1	-1.7981e+007
72	0.75	-5.e-002	0.1	-1.4982e+007
73	0.8	-5.e-002	0.1	-1.1981e+007
74	0.85	-5.e-002	0.1	-8.9956e+006
75	0.9	-5.e-002	0.1	-5.9097e+006
