Node Number	X Location (m)	Y Location (m)	Z Location (m)	Normal Stress (Pa)
1	0.	-0.05	0.	-3.5842e+07
2	0.	-0.05	0.025	-3.5733e+07
3	0.	-0.05	0.05	-3.6391e+07
4	0.	-0.05	0.075	-3.5912e+07
5	0.	-0.05	0.1	-3.5924e+07
6	0.	-0.025	0.	5.3897e+07
7	0.	-0.025	0.025	5.3974e+07
8	0.	-0.025	0.05	5.4141e+07
9	0.	-0.025	0.075	5.3849e+07
10	0.	-0.025	0.1	5.4369e+07
11	0.	0.	0.	1.4452e+08
12	0.	0.	0.025	1.4384e+08
13	0.	0.	0.05	1.4342e+08
14	0.	0.	0.075	1.4494e+08
15	0.	0.	0.1	1.4386e+08
16	0.	0.025	0.	2.3226e+08
17	0.	0.025	0.025	2.3543e+08
18	0.	0.025	0.05	2.3298e+08
19	0.	0.025	0.075	2.3522e+08
20	0.	0.025	0.1	2.3047e+08
21	0.	0.05	0.	3.2328e+08
22	0.	0.05	0.025	3.2625e+08
23	0.	0.05	0.05	3.2401e+08
24	0.	0.05	0.075	3.2516e+08
25	0.	0.05	0.1	3.2225e+08
26	0.025	-0.05	0.	-3.1566e+07
27	0.025	-0.05	0.025	-3.1501e+07
28	0.025	-0.05	0.05	-3.1546e+07
29	0.025	-0.05	0.075	-3.1885e+07
30	0.025	-0.05	0.1	-3.1747e+07
31	0.025	-0.025	0.	5.6517e+07
32	0.025	-0.025	0.025	5.6522e+07
33	0.025	-0.025	0.05	5.5943e+07
34	0.025	-0.025	0.075	5.6091e+07
35	0.025	-0.025	0.1	5.5733e+07
36	0.025	0.	0.	1.4290e+08
37	0.025	0.	0.025	1.4323e+08
38	0.025	0.	0.05	1.4397e+08
39	0.025	0.	0.075	1.4294e+08
40	0.025	0.	0.1	1.4397e+08
41	0.025	0.025	0.	2.3154e+08
42	0.025	0.025	0.025	2.3017e+08
43	0.025	0.025	0.05	2.3387e+08
44	0.025	0.025	0.075	2.2991e+08
45	0.025	0.025	0.1	2.3330e+08
46	0.025	0.05	0.	3.1518e+08
47	0.025	0.05	0.025	3.1923e+08
48	0.025	0.05	0.05	3.1720e+08
49	0.025	0.05	0.075	3.1825e+08
50	0.025	0.05	0.1	3.2297e+08
51	0.05	-0.05	0.	-2.6944e+07
52	0.05	-0.05	0.025	-2.6821e+07
53	0.05	-0.05	0.05	-2.7079e+07
54	0.05	-0.05	0.075	-2.6942e+07
55	0.05	-0.05	0.1	-2.7024e+07
56	0.05	-0.025	0.	5.8179e+07
57	0.05	-0.025	0.025	5.8196e+07
58	0.05	-0.025	0.05	5.8224e+07
59	0.05	-0.025	0.075	5.8780e+07
60	0.05	-0.025	0.1	5.8420e+07
61	0.05	0.	0.	1.4309e+08
62	0.05	0.	0.025	1.4414e+08
63	0.05	0.	0.05	1.4407e+08
64	0.05	0.	0.075	1.4450e+08
65	0.05	0.	0.1	1.4358e+08
66	0.05	0.025	0.	2.2939e+08
67	0.05	0.025	0.025	2.3008e+08
68	0.05	0.025	0.05	2.2811e+08
69	0.05	0.025	0.075	2.3072e+08
70	0.05	0.025	0.1	2.2952e+08
71	0.05	0.05	0.	3.1292e+08
72	0.05	0.05	0.025	3.1291e+08
73	0.05	0.05	0.05	3.1481e+08
74	0.05	0.05	0.075	3.1396e+08
75	0.05	0.05	0.1	3.1643e+08
76	0.075	-0.05	0.	-2.2461e+07
77	0.075	-0.05	0.025	-2.2541e+07
78	0.075	-0.05	0.05	-2.2385e+07
79	0.075	-0.05	0.075	-2.2497e+07
80	0.075	-0.05	0.1	-2.2678e+07
81	0.075	-0.025	0.	6.0696e+07
82	0.075	-0.025	0.025	6.0548e+07
83	0.075	-0.025	0.05	6.0435e+07
84	0.075	-0.025	0.075	6.0743e+07
85	0.075	-0.025	0.1	6.1264e+07
86	0.075	0.	0.	1.4282e+08
87	0.075	0.	0.025	1.4396e+08
88	0.075	0.	0.05	1.4252e+08
89	0.075	0.	0.075	1.4365e+08
90	0.075	0.	0.1	1.4423e+08
91	0.075	0.025	0.	2.2510e+08
92	0.075	0.025	0.025	2.2664e+08
93	0.075	0.025	0.05	2.2765e+08
94	0.075	0.025	0.075	2.2743e+08
95	0.075	0.025	0.1	2.2771e+08
96	0.075	0.05	0.	3.0868e+08
97	0.075	0.05	0.025	3.1104e+08
98	0.075	0.05	0.05	3.0938e+08
99	0.075	0.05	0.075	3.1183e+08
100	0.075	0.05	0.1	3.0620e+08
101	0.1	-0.05	0.	-1.7969e+07
102	0.1	-0.05	0.025	-1.8011e+07
