Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Deformation (m)
1	0.95	-1.7347e-018	5.e-002	5.1693e-003
2	0.9	9.8608e-032	5.e-002	4.7896e-003
3	0.85	2.4652e-031	5.e-002	4.4099e-003
4	0.8	3.4694e-018	5.e-002	4.0331e-003
5	0.75	-3.6978e-032	5.e-002	3.6615e-003
6	0.7	0.	5.e-002	3.2972e-003
7	0.65	2.4652e-032	5.e-002	2.9427e-003
8	0.6	0.	5.e-002	2.5999e-003
9	0.55	2.4652e-032	5.e-002	2.2711e-003
10	0.5	-3.4694e-018	5.e-002	1.9583e-003
11	0.45	-3.4694e-018	5.e-002	1.6637e-003
12	0.4	5.5467e-032	5.e-002	1.3892e-003
13	0.35	0.	5.e-002	1.1367e-003
14	0.3	0.	5.e-002	9.0787e-004
15	0.25	-6.163e-033	5.e-002	7.0382e-004
16	0.2	-1.7347e-018	5.e-002	5.2553e-004
17	0.15	9.2445e-033	5.e-002	3.7122e-004
18	0.1	-1.7347e-018	5.e-002	2.4509e-004
19	5.e-002	-3.0815e-033	5.e-002	1.2879e-004
20	5.e-002	-6.163e-033	0.	1.5595e-004
21	0.1	-3.4694e-018	0.	2.6144e-004
22	0.15	1.8489e-032	0.	3.8168e-004
23	0.2	-3.4694e-018	0.	5.3113e-004
24	0.25	-1.2326e-032	0.	7.0658e-004
25	0.3	0.	0.	9.0877e-004
26	0.35	0.	0.	1.1364e-003
27	0.4	1.1093e-031	0.	1.3881e-003
28	0.45	-6.9389e-018	0.	1.6621e-003
29	0.5	-6.9389e-018	0.	1.9564e-003
30	0.55	4.9304e-032	0.	2.269e-003
31	0.6	0.	0.	2.5977e-003
32	0.65	4.9304e-032	0.	2.9405e-003
33	0.7	0.	0.	3.2952e-003
34	0.75	-7.3956e-032	0.	3.6595e-003
35	0.8	6.9389e-018	0.	4.0313e-003
36	0.85	4.9304e-031	0.	4.4082e-003
37	0.9	1.9722e-031	0.	4.7881e-003
38	0.95	-3.4694e-018	0.	5.1678e-003
39	0.95	0.	0.1	5.1678e-003
40	0.9	0.	0.1	4.7881e-003
41	0.85	0.	0.1	4.4082e-003
42	0.8	0.	0.1	4.0313e-003
43	0.75	0.	0.1	3.6595e-003
44	0.7	0.	0.1	3.2952e-003
45	0.65	0.	0.1	2.9405e-003
46	0.6	0.	0.1	2.5977e-003
47	0.55	0.	0.1	2.269e-003
48	0.5	0.	0.1	1.9564e-003
49	0.45	0.	0.1	1.6621e-003
50	0.4	0.	0.1	1.3881e-003
51	0.35	0.	0.1	1.1364e-003
52	0.3	0.	0.1	9.0877e-004
53	0.25	0.	0.1	7.0658e-004
54	0.2	0.	0.1	5.3113e-004
55	0.15	0.	0.1	3.8168e-004
56	0.1	0.	0.1	2.6144e-004
57	5.e-002	0.	0.1	1.5595e-004
58	5.e-002	-5.e-002	0.1	1.7476e-004
59	0.1	-5.e-002	0.1	2.6375e-004
60	0.15	-5.e-002	0.1	3.6978e-004
61	0.2	-5.e-002	0.1	5.0779e-004
62	0.25	-5.e-002	0.1	6.7617e-004
63	0.3	-5.e-002	0.1	8.737e-004
64	0.35	-5.e-002	0.1	1.0984e-003
65	0.4	-5.e-002	0.1	1.3483e-003
66	0.45	-5.e-002	0.1	1.6212e-003
67	0.5	-5.e-002	0.1	1.9151e-003
68	0.55	-5.e-002	0.1	2.2277e-003
69	0.6	-5.e-002	0.1	2.5569e-003
70	0.65	-5.e-002	0.1	2.9005e-003
71	0.7	-5.e-002	0.1	3.2562e-003
72	0.75	-5.e-002	0.1	3.6219e-003
73	0.8	-5.e-002	0.1	3.9953e-003
74	0.85	-5.e-002	0.1	4.3741e-003
75	0.9	-5.e-002	0.1	4.7561e-003
76	0.95	-5.e-002	0.1	5.139e-003
77	1.	-5.e-002	0.1	5.5181e-003
78	1.	0.	0.1	5.5448e-003
79	1.	5.e-002	0.1	5.6115e-003
