Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Deformation (m)
1	0.95	-1.7347e-018	5.e-002	2.2436e-003
2	0.9	9.8608e-032	5.e-002	2.1205e-003
3	0.85	2.4652e-031	5.e-002	1.9955e-003
4	0.8	3.4694e-018	5.e-002	1.8697e-003
5	0.75	-3.6978e-032	5.e-002	1.7434e-003
6	0.7	0.	5.e-002	1.6173e-003
7	0.65	2.4652e-032	5.e-002	1.4917e-003
8	0.6	0.	5.e-002	1.3671e-003
9	0.55	2.4652e-032	5.e-002	1.2438e-003
10	0.5	-3.4694e-018	5.e-002	1.1222e-003
11	0.45	-3.4694e-018	5.e-002	1.0025e-003
12	0.4	5.5467e-032	5.e-002	8.8501e-004
13	0.35	0.	5.e-002	7.6987e-004
14	0.3	0.	5.e-002	6.5722e-004
15	0.25	-6.163e-033	5.e-002	5.4692e-004
16	0.2	-1.7347e-018	5.e-002	4.3932e-004
17	0.15	9.2445e-033	5.e-002	3.3264e-004
18	0.1	-1.7347e-018	5.e-002	2.3363e-004
19	5.e-002	-3.0815e-033	5.e-002	1.2742e-004
20	5.e-002	-6.163e-033	0.	1.5545e-004
21	0.1	-3.4694e-018	0.	2.5273e-004
22	0.15	1.8489e-032	0.	3.4752e-004
23	0.2	-3.4694e-018	0.	4.5023e-004
24	0.25	-1.2326e-032	0.	5.5552e-004
25	0.3	0.	0.	6.6414e-004
26	0.35	0.	0.	7.7557e-004
27	0.4	1.1093e-031	0.	8.8977e-004
28	0.45	-6.9389e-018	0.	1.0065e-003
29	0.5	-6.9389e-018	0.	1.1256e-003
30	0.55	4.9304e-032	0.	1.2468e-003
31	0.6	0.	0.	1.3697e-003
32	0.65	4.9304e-032	0.	1.494e-003
33	0.7	0.	0.	1.6193e-003
34	0.75	-7.3956e-032	0.	1.7452e-003
35	0.8	6.9389e-018	0.	1.8713e-003
36	0.85	4.9304e-031	0.	1.997e-003
37	0.9	1.9722e-031	0.	2.1219e-003
38	0.95	-3.4694e-018	0.	2.2449e-003
39	0.95	0.	0.1	2.2449e-003
40	0.9	0.	0.1	2.1219e-003
41	0.85	0.	0.1	1.997e-003
42	0.8	0.	0.1	1.8713e-003
43	0.75	0.	0.1	1.7452e-003
44	0.7	0.	0.1	1.6193e-003
45	0.65	0.	0.1	1.494e-003
46	0.6	0.	0.1	1.3697e-003
47	0.55	0.	0.1	1.2468e-003
48	0.5	0.	0.1	1.1256e-003
49	0.45	0.	0.1	1.0065e-003
50	0.4	0.	0.1	8.8977e-004
51	0.35	0.	0.1	7.7557e-004
52	0.3	0.	0.1	6.6414e-004
53	0.25	0.	0.1	5.5552e-004
54	0.2	0.	0.1	4.5023e-004
55	0.15	0.	0.1	3.4752e-004
56	0.1	0.	0.1	2.5273e-004
57	5.e-002	0.	0.1	1.5545e-004
58	5.e-002	-5.e-002	0.1	1.7522e-004
59	0.1	-5.e-002	0.1	2.6602e-004
60	0.15	-5.e-002	0.1	3.5314e-004
61	0.2	-5.e-002	0.1	4.4822e-004
62	0.25	-5.e-002	0.1	5.482e-004
63	0.3	-5.e-002	0.1	6.5271e-004
64	0.35	-5.e-002	0.1	7.6105e-004
65	0.4	-5.e-002	0.1	8.7295e-004
66	0.45	-5.e-002	0.1	9.8809e-004
67	0.5	-5.e-002	0.1	1.1062e-003
68	0.55	-5.e-002	0.1	1.2269e-003
69	0.6	-5.e-002	0.1	1.3498e-003
70	0.65	-5.e-002	0.1	1.4746e-003
71	0.7	-5.e-002	0.1	1.6009e-003
72	0.75	-5.e-002	0.1	1.7282e-003
73	0.8	-5.e-002	0.1	1.8561e-003
74	0.85	-5.e-002	0.1	1.9842e-003
75	0.9	-5.e-002	0.1	2.1118e-003
76	0.95	-5.e-002	0.1	2.2386e-003
77	1.	-5.e-002	0.1	2.3633e-003
78	1.	0.	0.1	2.3647e-003
79	1.	5.e-002	0.1	2.3804e-003
80	0.95	5.e-002	0.1	2.2617e-003
81	0.9	5.e-002	0.1	2.142e-003
82	0.85	5.e-002	0.1	2.0203e-003
83	0.8	5.e-002	0.1	1.8975e-003
84	0.75	5.e-002	0.1	1.7738e-003
85	0.7	5.e-002	0.1	1.65e-003
86	0.65	5.e-002	0.1	1.5263e-003
87	0.6	5.e-002	0.1	1.4033e-003
88	0.55	5.e-002	0.1	1.2812e-003
89	0.5	5.e-002	0.1	1.1604e-003
90	0.45	5.e-002	0.1	1.0413e-003
91	0.4	5.e-002	0.1	9.2405e-004
92	0.35	5.e-002	0.1	8.0894e-004
93	0.3	5.e-002	0.1	6.962e-004
94	0.25	5.e-002	0.1	5.8598e-004
95	0.2	5.e-002	0.1	4.7884e-004
96	0.15	5.e-002	0.1	3.7486e-004
97	0.1	5.e-002	0.1	2.7714e-004
98	5.e-002	5.e-002	0.1	1.736e-004
99	0.	5.e-002	0.1	0.
100	0.	0.	0.1	0.
101	0.	-5.e-002	0.1	0.
102	0.	0.	5.e-002	0.
103	0.	0.	0.	0.
104	0.	-5.e-002	0.	0.
105	0.	-5.e-002	5.e-002	0.
106	0.	5.e-002	0.	0.
107	0.	5.e-002	5.e-002	0.
108	0.95	5.e-002	5.e-002	2.2599e-003
109	0.9	5.e-002	5.e-002	2.1401e-003
110	0.85	5.e-002	5.e-002	2.0184e-003
111	0.8	5.e-002	5.e-002	1.8954e-003
112	0.75	5.e-002	5.e-002	1.7717e-003
113	0.7	5.e-002	5.e-002	1.6477e-003
114	0.65	5.e-002	5.e-002	1.5238e-003
115	0.6	5.e-002	5.e-002	1.4005e-003
116	0.55	5.e-002	5.e-002	1.2781e-003
117	0.5	5.e-002	5.e-002	1.1569e-003
118	0.45	5.e-002	5.e-002	1.0373e-003
119	0.4	5.e-002	5.e-002	9.1949e-004
120	0.35	5.e-002	5.e-002	8.0361e-004
121	0.3	5.e-002	5.e-002	6.8986e-004
122	0.25	5.e-002	5.e-002	5.7825e-004
123	0.2	5.e-002	5.e-002	4.6926e-004
124	0.15	5.e-002	5.e-002	3.6201e-004
125	0.1	5.e-002	5.e-002	2.6177e-004
126	5.e-002	5.e-002	5.e-002	1.5806e-004
127	5.e-002	5.e-002	0.	1.736e-004
128	0.1	5.e-002	0.	2.7714e-004
129	0.15	5.e-002	0.	3.7486e-004
130	0.2	5.e-002	0.	4.7884e-004
131	0.25	5.e-002	0.	5.8598e-004
132	0.3	5.e-002	0.	6.962e-004
133	0.35	5.e-002	0.	8.0894e-004
134	0.4	5.e-002	0.	9.2405e-004
135	0.45	5.e-002	0.	1.0413e-003
136	0.5	5.e-002	0.	1.1604e-003
137	0.55	5.e-002	0.	1.2812e-003
138	0.6	5.e-002	0.	1.4033e-003
139	0.65	5.e-002	0.	1.5263e-003
140	0.7	5.e-002	0.	1.65e-003
141	0.75	5.e-002	0.	1.7738e-003
142	0.8	5.e-002	0.	1.8975e-003
143	0.85	5.e-002	0.	2.0203e-003
144	0.9	5.e-002	0.	2.142e-003
145	0.95	5.e-002	0.	2.2617e-003
146	1.	5.e-002	0.	2.3804e-003
147	1.	5.e-002	5.e-002	2.3795e-003
148	1.	0.	5.e-002	2.364e-003
149	1.	0.	0.	2.3647e-003
150	1.	-5.e-002	0.	2.3633e-003
151	1.	-5.e-002	5.e-002	2.3628e-003
152	0.95	-5.e-002	5.e-002	2.2377e-003
153	0.9	-5.e-002	5.e-002	2.1108e-003
154	0.85	-5.e-002	5.e-002	1.983e-003
155	0.8	-5.e-002	5.e-002	1.8548e-003
156	0.75	-5.e-002	5.e-002	1.7267e-003
