Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
1	0.	-0.05	0.	-0.0000e+00
2	0.	-0.05	0.025	-0.0000e+00
3	0.	-0.05	0.05	-0.0000e+00
4	0.	-0.05	0.075	-0.0000e+00
5	0.	-0.05	0.1	-0.0000e+00
6	0.	-0.025	0.	-0.0000e+00
7	0.	-0.025	0.025	-0.0000e+00
8	0.	-0.025	0.05	-0.0000e+00
9	0.	-0.025	0.075	-0.0000e+00
10	0.	-0.025	0.1	-0.0000e+00
11	0.	0.	0.	-0.0000e+00
12	0.	0.	0.025	-0.0000e+00
13	0.	0.	0.05	-0.0000e+00
14	0.	0.	0.075	-0.0000e+00
15	0.	0.	0.1	-0.0000e+00
16	0.	0.025	0.	-0.0000e+00
17	0.	0.025	0.025	-0.0000e+00
18	0.	0.025	0.05	-0.0000e+00
19	0.	0.025	0.075	-0.0000e+00
20	0.	0.025	0.1	-0.0000e+00
21	0.	0.05	0.	-0.0000e+00
22	0.	0.05	0.025	-0.0000e+00
23	0.	0.05	0.05	-0.0000e+00
24	0.	0.05	0.075	-0.0000e+00
25	0.	0.05	0.1	-0.0000e+00
26	0.025	-0.05	0.	-5.5633e-06
27	0.025	-0.05	0.025	-5.5729e-06
28	0.025	-0.05	0.05	-5.5657e-06
29	0.025	-0.05	0.075	-5.5578e-06
30	0.025	-0.05	0.1	-5.5572e-06
31	0.025	-0.025	0.	-5.6009e-06
32	0.025	-0.025	0.025	-5.5728e-06
33	0.025	-0.025	0.05	-5.5923e-06
34	0.025	-0.025	0.075	-5.5953e-06
35	0.025	-0.025	0.1	-5.5852e-06
36	0.025	0.	0.	-5.5960e-06
37	0.025	0.	0.025	-5.5784e-06
38	0.025	0.	0.05	-5.6086e-06
39	0.025	0.	0.075	-5.5965e-06
40	0.025	0.	0.1	-5.5995e-06
41	0.025	0.025	0.	-5.5572e-06
42	0.025	0.025	0.025	-5.5840e-06
43	0.025	0.025	0.05	-5.5372e-06
44	0.025	0.025	0.075	-5.6094e-06
45	0.025	0.025	0.1	-5.5642e-06
46	0.025	0.05	0.	-5.5673e-06
47	0.025	0.05	0.025	-5.5476e-06
48	0.025	0.05	0.05	-5.5773e-06
49	0.025	0.05	0.075	-5.5721e-06
50	0.025	0.05	0.1	-5.6188e-06
51	0.05	-0.05	0.	-2.2201e-05
52	0.05	-0.05	0.025	-2.2079e-05
53	0.05	-0.05	0.05	-2.1978e-05
54	0.05	-0.05	0.075	-2.1923e-05
55	0.05	-0.05	0.1	-2.2034e-05
56	0.05	-0.025	0.	-2.2007e-05
57	0.05	-0.025	0.025	-2.2156e-05
58	0.05	-0.025	0.05	-2.2112e-05
59	0.05	-0.025	0.075	-2.2127e-05
60	0.05	-0.025	0.1	-2.2041e-05
61	0.05	0.	0.	-2.2138e-05
62	0.05	0.	0.025	-2.1999e-05
63	0.05	0.	0.05	-2.2117e-05
64	0.05	0.	0.075	-2.2198e-05
65	0.05	0.	0.1	-2.2093e-05
66	0.05	0.025	0.	-2.2164e-05
67	0.05	0.025	0.025	-2.1950e-05
68	0.05	0.025	0.05	-2.1943e-05
69	0.05	0.025	0.075	-2.2154e-05
70	0.05	0.025	0.1	-2.2218e-05
71	0.05	0.05	0.	-2.2104e-05
72	0.05	0.05	0.025	-2.2315e-05
73	0.05	0.05	0.05	-2.1997e-05
74	0.05	0.05	0.075	-2.2065e-05
75	0.05	0.05	0.1	-2.2137e-05
76	0.075	-0.05	0.	-4.9451e-05
77	0.075	-0.05	0.025	-4.9244e-05
78	0.075	-0.05	0.05	-4.9150e-05
79	0.075	-0.05	0.075	-4.9482e-05
80	0.075	-0.05	0.1	-4.9386e-05
81	0.075	-0.025	0.	-4.9291e-05
82	0.075	-0.025	0.025	-4.9458e-05
83	0.075	-0.025	0.05	-4.9332e-05
84	0.075	-0.025	0.075	-4.9332e-05
85	0.075	-0.025	0.1	-4.9325e-05
86	0.075	0.	0.	-4.9197e-05
87	0.075	0.	0.025	-4.9177e-05
88	0.075	0.	0.05	-4.9256e-05
89	0.075	0.	0.075	-4.9366e-05
90	0.075	0.	0.1	-4.8990e-05
91	0.075	0.025	0.	-4.9546e-05
92	0.075	0.025	0.025	-4.9363e-05
93	0.075	0.025	0.05	-4.9149e-05
94	0.075	0.025	0.075	-4.9679e-05
95	0.075	0.025	0.1	-4.9368e-05
96	0.075	0.05	0.	-4.9096e-05
97	0.075	0.05	0.025	-4.9670e-05
98	0.075	0.05	0.05	-4.9627e-05
99	0.075	0.05	0.075	-4.9180e-05
100	0.075	0.05	0.1	-4.9296e-05
101	0.1	-0.05	0.	-8.6841e-05
102	0.1	-0.05	0.025	-8.6342e-05
103	0.1	-0.05	0.05	-8.7113e-05
104	0.1	-0.05	0.075	-8.7294e-05
105	0.1	-0.05	0.1	-8.7229e-05
106	0.1	-0.025	0.	-8.7011e-05
107	0.1	-0.025	0.025	-8.7328e-05
108	0.1	-0.025	0.05	-8.6605e-05
109	0.1	-0.025	0.075	-8.7633e-05
110	0.1	-0.025	0.1	-8.6731e-05
111	0.1	0.	0.	-8.6770e-05
112	0.1	0.	0.025	-8.6800e-05
113	0.1	0.	0.05	-8.6774e-05
114	0.1	0.	0.075	-8.6933e-05
115	0.1	0.	0.1	-8.6919e-05
116	0.1	0.025	0.	-8.7045e-05
117	0.1	0.025	0.025	-8.6715e-05
118	0.1	0.025	0.05	-8.7058e-05
119	0.1	0.025	0.075	-8.6621e-05
120	0.1	0.025	0.1	-8.7255e-05
121	0.1	0.05	0.	-8.7251e-05
122	0.1	0.05	0.025	-8.6998e-05
123	0.1	0.05	0.05	-8.6774e-05
124	0.1	0.05	0.075	-8.7108e-05
125	0.1	0.05	0.1	-8.6691e-05
